投稿日,タイトル,再生数
2021-09-07,【実力一切なし】運の力だけで勝ち進め！第一回 運王！【ビッグボーナスあり】,3282733
2021-09-05,【外したら撤廃】５辛以上の辛さって意味なくね！？悔しかったら辛さの段階当ててみろや！！！,3966264
2021-09-04,【適材適所】無能なメンバーのケツを拭け！帳尻合わせゲーム！！,3014379
2021-09-03,【倍速】このナイトルーティン、何かがおかしい...!!,2175834
2021-09-02,【聖徳太子】同時に３人の「動画の入りトーク」を聞いて企画をこなせ！,1927792
2021-09-01,【30連続正解で帰宅】ポケモンって妙に覚えやすくね？898匹全部覚えちゃおう！,5709041
2021-08-31,【勝ったらスネ夫】前の人より凄い物で自慢し返せ！限界自慢対決！！！！！,3817711
2021-08-29,【...】聞いた事のない無数の言葉の中から存在しない嘘の言葉を見抜け！！！,2053779
2021-08-25,【おふくろの味】どれがてつやが考えた｢動画の入りトーク｣でしょう！,2134622
2021-08-24,【長期間撮影】「１日１単語増えるしりとり」なら永遠に続くんじゃね！？,2303764
2021-08-22,ベタな裁判ドッキリでどれだけ｢メタ発言｣を我慢できるか選手権！,2735381
2021-08-21,【飼主との絆】様々な難関を乗り越えろ！ネコ障害物競争！！！,1752729
2021-08-20,【目利きの銀一＆銀次】鑑定士の目利きを騙せ！！！『出張！なんでも鑑定騙し！！！』,1877312
2021-08-19,【豪華ゲスト】YouTuberに自作の画像素材を買ってもらおう！自分の動画で使ってね！,4157960
2021-08-18,【結論：要らん】本以外にも｢帯｣つけたらもっと売れるのでは？作ろう！,1880173
2021-08-17,【ガチでチーム一丸】新競技たこ焼きバスケ！点が入った分だけたこ焼きを食って応援しろ！！！,2502540
2021-08-15,【めっちゃバカ】あなたには読めるか！？圧倒的新感覚の顔漢字クイズがやばすぎた！！【めっちゃバカ】,2260793
2021-08-14,【勤怠】東海オンエアって週何時間働いてるの？一週間タイムカード生活！！！,3554938
2021-08-13,【うぬぼれ防止】この美女、誰のことを褒めているでしょう！,3132094
2021-08-12,【めんどい】人間の蓄積ダメージを検証！2週間ダメカン生活！,1888945
