投稿日,タイトル,再生数
2020-11-12,【特注品】キシリトールガムがデカキンのだけ激すっぱいドッキリwww【ヒカキン×セイキン×デカキン】,854498
2020-11-06,【発売前】ハッピーセットプラレール 第一弾＆第二弾 全種類チビキンと開封して遊びます！！,596291
2020-10-31,【悲報】壁終了のお知らせ。チビキン画伯による油性ペンの大芸術を消すことはできるのか。,2175417
2020-10-29,【全部バニラ】バニラアイスの達人セイキンなら目隠ししてもどのバニラアイスか当てられるはず。,874556
2020-10-23,【ヒカキンVSセイキン】陸上競技場貸し切って2人だけで本気の陸上大会www,2433491
2020-10-17,セイキン夫婦の家電屋デート,1557039
2020-10-10,【全部映画版】チョコエッグドラえもんムービーセレクション2 全種類当てるまで開封!!【シークレットあり】【完結編】,501390
2020-10-09,Amazonのダンボールでチビキンの家とすべり台作ったらスゴイのできたwww,1958447
2020-10-04,【PS5】発売前のプレイステーション5を日本最速プレイ!!【PlayStation5】,615559
2020-10-03,【 全部映画版ドラえもん】チョコエッグドラえもんムービーセレクション全種類当てるまで終われません【シークレットあり】【前編】,577025
2020-09-24,【汚車】セイキンのアルファードが汚すぎる。。。,1767307
2020-09-19,家の中にプール開設しました。,2938540
2020-09-12,果物にも彫刻ができるレーザー彫刻機が凄すぎる。。。,518182
2020-09-09,セイキン夫婦がガチでハマってるお菓子ランキング2020,992228
2020-09-04,ポンちゃんにカット&カラーしてもらうとどうなるの？【ヘアーデザインP.O.N】,920815
2020-08-31,【暴露】元CoCo壱番屋店員のポンちゃんとココイチのカレー食べながら歴代アルバイトトーク【セイキン&ポンちゃん】,1039621
2020-08-28,今 アカペラ Ver. - ヒカキン&セイキン,1877049
2020-08-22,チョコエッグでヒカキン全種類当てるまで終われません【ハローキティ】【サンリオ】,1137714
2020-08-19,【一等100万円】世界初!?流れる本物のスクラッチすくいバトル【宝くじ】,513414
2020-08-15,自宅で本物の流れるプールでスーパーボールすくいやります。,2829896
2020-08-13,200万円かけてラメ入りメタリックブルーにしたランボルギーニでいきなりヒカキンの前に現れたらどんな反応するのか。【ヒカキン&セイキン】,4047865
2020-08-08,妊娠〜出産までの秘話。チビキンのエコー写真大公開！！,1281615
2020-07-31,ウーバーイーツだけで誕生日パーティー!! セイキン、33歳になりました。【UberEats】,929678
2020-07-27,先日電話したカルビー本社から突然謎の巨大な段ボールが届きました。,1624604
2020-07-23,【利き米バトル】地元新潟県産のコシヒカリ当てられなかったら新潟県民失格【ヒカキンVSセイキン】,997554
2020-07-21,ママの悩み、パパが解決します。,674813
2020-07-15,アルファードのタイヤを売ることになりました。。。,1147392
2020-06-30,チビキンの大好きなお菓子がどこにも売っていないので販売元のカルビーに電話します。,1866752
2020-06-19,ランボルギーニの点検費用がヤバい。本社から贈られた記念品もすごい。それが、ランボルギーニ。,1606213
2020-06-12,【ヒカキン VS セイキン】どっちが自分の髪カッコよく切れるかバトルwww,3773355
2020-06-12,家の中に砂場作りましょう。,1401244
2020-06-07,大量のニンニク問題について。,961893
2020-06-05,セイキンの1日。,1435795
2020-05-21,スパイス20種類調合したら本物のインドカレーできました。,1194810
2020-05-16,YouTubeテーマソング2020 - ヒカキン&セイキン【MV1億再生突破記念スペシャルver.】,5817981
2020-05-08,【成長】チビキン、自分でウォーターサーバーのお水を入れて飲む。【アクアクララ】,1280839
2020-05-01,家の中にキャンプ場作ってみた。,872411
2020-04-24,【祝2歳】チビキンの誕生日にサプライズでプレゼント渡してみた。,2802244
2020-04-17,今年は家の中でお花見します。,904990
2020-04-03,家の中に3000個のボールで巨大ボールプール作ってみた。,1675994
2020-03-28,【激痛】20万円の電気が流れるブラシ当てたら顔が。。。【電気バリブラシ】,550245
2020-03-19,ヒカキンの家中に隠しカメラセットしたら変人過ぎてドン引き。。。,8828305
2020-03-15,チビキンにキッチンを作ってあげようとしたら大苦戦,3047365
2020-03-10,セイキン - あわあわ手あらいのうた,2444385
2020-03-04,【全11パターン】ユニクロ・GU・H&M だけでポンちゃんがセイキンを全身コーデ,579123
2020-02-29,HIKAKIN & SEIKIN - 夢〜今 スペシャルメドレー［U-FES.TOUR 2019 MUSIC 大阪 LIVE ver.］,3712109
2020-02-27,セイキンが行く!!大阪の旅に密着【ヒカキン&セイキン】,2004272
2020-02-17,【写真】セイキンをカッコよく撮れるまで帰れませんwww【超難関】,600316
2020-02-10,100均グッズだけでサバイバル車中泊www,1649591
2020-02-04,【世界初】ヒカキン & セイキン、真冬のランボルギーニ車中泊。【ランボルギーニ アヴェンタドール S】,17551879
2020-01-24,ついにTikTokデビューするもやはり毒を盛られてしまうセイキン。。。,941350
2020-01-23,一週間しゃっくりがとまらない。。。,809891
2020-01-17,セイキンのモーニングルーティーン,5041550
2020-01-14,【車中泊】車の中でたこ焼きを作って食べたい。,1252334
2020-01-05,セイキン家の年末年始に密着,2628026
2020-01-01,【車中泊】車の中をゲーム部屋に改造して遊びまくるwww【男のロマン】,1056198
2020-01-01,【2020年】セイキン、ヒカキンに投げ飛ばされ元日に首を負傷【元日】,2188636
2019-12-30,【重労働】年末なので家族で車3台全部手洗い洗車します。【セイキン、ポンちゃん、チビキン】,1609688
2019-12-26,不審者セイキン東京駅に出没。,447711
2019-12-18,ヒカキン & セイキン - 夢　作曲シーン,1784911
2019-12-16,ヒカキン & セイキン - 夢［YouTube FanFest Japan 2019 LIVE ver.］,1814796
2019-12-14,ヒカキン & セイキン - 夢,31641579
2019-12-12,【マクドナルド】ハッピーセット スーパーマリオ全種類当てるまで終われませんwww【セイキン VS ポンちゃん】,1360010
2019-12-09,セイキン、世界最大級のアウトドアショップで車中泊グッズを爆買いしてしまう。,916258
2019-12-02,チビキンとまるお、もふこが対面するとどうなるの？,8846451
2019-11-29,HIKAKIN & SEIKIN - 夢［Teaser］,779006
2019-11-22,セイキン、人生初の車中泊。,2901167
2019-11-18,【ヒカキン VS セイキン】人気YouTuberのシールが当たるU-FES.マンチョコで全種類当てるまで終われませんwww【シークレットあり】,2991632
2019-11-15,【LIVE】ヒカキン & セイキン U-FES.MUSIC 名古屋【公式】,860904
2019-11-06,セイキン一家の弾丸熱海旅行！,843693
2019-10-30,【ハロウィン】巨大お化けカボチャグラタン作りましょう。【料理】,538886
2019-10-26,【YouTuber史上初】セイキン、イクメンオブザイヤー2019を受賞。,594902
2019-10-22,セイキン、救急車で運ばれる。。。,5326991
2019-10-16,ランボルギーニでマクドナルド、スターバックス、すき家のドライブスルー全部いけるのか。【Lamborghini Aventador S】,990066
2019-10-11,【台風19号】厳重な警戒が必要です。,1770992
2019-10-09,【ハズレはゴキブリ】夫婦でゲテモノマカロンバトル！勝者には3000万円?プレゼント【セイキン & ポンちゃん】,550101
2019-10-02,【夫婦】ランボルギーニでタピオカ屋巡りドライブ！【セイキン & ポンちゃん】,2535626
2019-09-28,【第一回セイちゃん食堂開店】特大天然真鯛(まだい)の塩釜焼き作りましょう！！【料理】,2389566
2019-09-21,【セイキン & ポンちゃん】夫婦でお揃いの新型アップルウォッチシリーズ5買って水没！！【Apple Watch Series 5】,886552
2019-09-20,【ヒカキン VS セイキン】兄弟でパン料理バトル！！（審査員：ポンちゃん & ママキン）,5767734
2019-09-19,【悲報】400万円のロレックス デイトナのパーツが無くなる。。。【ROLEX DAYTONA】,508365
2019-09-16,水中で色々ぶちまけてスロー撮影したらすごい映像撮れました。,992133
2019-09-10,【セイキン VS ポンちゃん】ディズニーチョコエッグ100個開封してシークレット多く出た方が勝ちバトル！【チョコエッグピクサー5】,1382810
2019-09-07,全国のおもちゃ屋にセイキンが現れる異例の事態発生www,1073965
2019-09-05,【世界初】YouTube再生ボタン型棒つき飴を作ることに成功しました。,2529290
2019-08-29,【マクドナルド】日本未発売のフローズンマシンの輸入に成功しました。,3173482
2019-08-23,新車のアルファード購入したので車内で誕生日パーティー開催！【トヨタ アルファード ハイブリッド  エグゼクティブラウンジ S】,3146461
2019-08-16,本物のお金が使える電動式セブン銀行ATM・・・すごっ！！！,1738065
2019-08-12,【公式】ヒカキン & セイキン / 雑草・今 メドレー LIVE【U-FES.TOUR 2019 MUSIC 東京】,1043809
2019-08-10,ついにセイキン、新車のランボルギーニを購入！ペーパードライバーヒカキンが運転して大暴走。。。【ランボルギーニ アヴェンタドールS】,9148712
2019-08-09,初心者セイキン、調子に乗ってベイブレードの開発者に勝負を挑んでしまう。,2077187
2019-07-31,YouTube再生ボタン型ぷるぷる石鹸が完成しました！,3738543
2019-07-24,全部お菓子の超特大エブリバーガーを作りたい。,3191873
2019-07-20,【総額50万円】ヒカキンにサプライズで超高級マウンテンバイクプレゼントして本格コースで大暴れ！,4390036
2019-07-14,YouTuberカード販売機が完成しました。,2477185
2019-07-09,一人流しタピオカをする男性の姿に全世界が涙,1594352
2019-07-06,豆乳を雪のようなアイスにしてしまうマシン誕生,630834
2019-07-04,【逆にレア】コラボ無しハッピーセット「なりきりマクドナルド」全種類揃えたらマクドナルドクルーになれるはず。,3136553
2019-06-28,YouTubeの再生ボタン型タピオカできました。,2576320
2019-06-26,チビキン、ついに立つ。,1657006
2019-06-22,【マクドナルド】今から24年前に発売された幻のチキンマックナゲット製造マシンをついに入手！！,16081614
2019-06-15,【高級車】ベンツ購入しました。,4739244
2019-06-13,マシュマロで食べられる毒キノコを作ることに成功しました。,1676272
2019-06-08,ボタンを押すと本当に出てくるセブンティーンアイス自販機をチビキンに作ってあげようとしたら大苦戦www,2220787
2019-06-03,飴のコップできました。,4416217
2019-05-31,ヒカキンおじさんからチビキンへプレゼント,5753669
2019-05-27,新型業務用フライヤーで作る世界一のび〜〜〜る？ハンバーガー,1171517
2019-05-24,工藤新一ならチョコエッグ名探偵コナンのシークレットを暴けるはず！,3496566
2019-05-18,マクドナル・・・ド？,1977465
2019-05-17,4万円の高級チーズのコップ作って10万円の高級ワインを飲むwww,1839840
2019-05-12,飴のストロー作ろうとしたら大苦戦。。。,2841428
2019-05-07,冷めたマックフライポテト&ナゲットをピザにする方法【マクドナルド】,609923
2019-05-02,無回転から勝利できるベイブレード使えば達人はじめしゃちょーにも勝てるはず。,3698242
2019-05-01,【令和】新SeikinTVスタート！！,1235316
2019-04-30,平成最後に世界最大のダチョウの卵で特大マシュマロ作ります！！,2863542
2019-04-26,己の舌だけを頼りにジョージアのコーヒー完全再現します。,759626
2019-04-25,50年前のジュースマシン買ったら問題発生。。。,3610108
2019-04-19,世界最大のダチョウの卵で本当に究極のマヨネーズ作ります！,2214727
2019-04-13,チビキン1歳の誕生日。,3108205
2019-04-10,【革命】フライパンで全てを完結させるポップコーン,2419889
2019-04-06,【マクドナルド】ハッピーセットにシークレットだと！？ 全力で手に入れます！【ドラえもん】,1515728
2019-04-02,【常識破り】重力に逆らい上昇する無限∞そうめんスライダー爆誕,2121323
2019-03-30,究極のMYO（マヨネーズ）製造マシンここに誕生。,1732070
